          楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,EXスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
Twilight ∞ nighT,MAXIMUM,17,PERFECT,S,10000000,0,2,2,1,1
Poison AND÷OR Affection,MAXIMUM,17,EXCESSIVE COMPLETE,S,9975806,5920,7,7,0,0
ローリンガール,MAXIMUM,16,PERFECT,S,10000000,0,3,3,1,1
Catch Our Fire!,MAXIMUM,18,EXCESSIVE COMPLETE,S,9963890,0,3,3,0,0
Divine's or Deal,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9781408,0,1,1,0,0
ファイナルレター,MAXIMUM,18,ULTIMATE CHAIN,S,9981042,0,6,5,1,0
ブチ上げ候！現代忍者三姉妹,MAXIMUM,17,EXCESSIVE COMPLETE,S,9991462,0,2,2,0,0
Musha Vibration,MAXIMUM,17,EXCESSIVE COMPLETE,S,9989788,0,9,9,0,0
†渚の小悪魔ラヴリィ～レイディオ†,MAXIMUM,18,EXCESSIVE COMPLETE,S,9979035,6648,6,6,0,0
Midnight City Warfare,MAXIMUM,18,COMPLETE,AAA+,9853455,0,1,1,0,0
ouroboros -twin stroke of the end-,MAXIMUM,18,EXCESSIVE COMPLETE,S,9953022,0,4,4,0,0
逆月,EXHAUST,17,ULTIMATE CHAIN,S,9987722,0,3,3,1,0
逆月,MAXIMUM,19,EXCESSIVE COMPLETE,S,9955607,7043,9,9,0,0
Xevel,MAXIMUM,18,EXCESSIVE COMPLETE,S,9961038,0,7,7,0,0
Taiko Drum Monster,MAXIMUM,18,EXCESSIVE COMPLETE,S,9911875,0,3,3,0,0
Elemental Creation,EXHAUST,17,EXCESSIVE COMPLETE,S,9971636,0,3,3,0,0
Elemental Creation,MAXIMUM,19,EXCESSIVE COMPLETE,S,9966252,0,16,15,0,0
Empathetic,MAXIMUM,17,EXCESSIVE COMPLETE,S,9973304,0,1,1,0,0
お米の美味しい炊き方、そしてお米を食べることによるその効果。,MAXIMUM,18,EXCESSIVE COMPLETE,S,9924859,0,1,1,0,0
GAIA,MAXIMUM,18,ULTIMATE CHAIN,S,9992997,7156,17,16,3,0
Synergy For Angels,MAXIMUM,17,EXCESSIVE COMPLETE,S,9950525,0,1,1,0,0
STULTI,MAXIMUM,18,ULTIMATE CHAIN,S,9997517,6090,37,34,7,0
創世ノート,MAXIMUM,17,EXCESSIVE COMPLETE,S,9989504,0,2,2,0,0
ラキラキ,MAXIMUM,17,EXCESSIVE COMPLETE,S,9977139,0,4,4,0,0
Invisible Bullets,MAXIMUM,17,PERFECT,S,10000000,0,5,5,2,1
Venomous Firefly,MAXIMUM,18,EXCESSIVE COMPLETE,S,9937374,0,13,13,0,0
Tic Exe,MAXIMUM,17,ULTIMATE CHAIN,S,9994366,0,3,3,1,0
Night Rockin' Bird,MAXIMUM,18,EXCESSIVE COMPLETE,S,9952267,6366,4,3,0,0
Nostalgic Blood of the Strife,MAXIMUM,18,ULTIMATE CHAIN,S,9968003,7210,23,23,1,0
Akzeriyyuth,MAXIMUM,18,PERFECT,S,10000000,6206,24,21,0,1
異世界ノットパンピー,MAXIMUM,16,PERFECT,S,10000000,0,2,2,0,1
嘘とぬいぐるみ,MAXIMUM,16,PERFECT,S,10000000,0,9,9,4,1
Coldlapse,MAXIMUM,17,ULTIMATE CHAIN,S,9994117,0,3,3,2,0
No way,MAXIMUM,17,ULTIMATE CHAIN,S,9994242,0,11,10,2,0
4NT1 D34D,MAXIMUM,16,ULTIMATE CHAIN,S,9995644,3759,9,8,1,0
Breakin' Asia,MAXIMUM,18,EXCESSIVE COMPLETE,S,9992348,7159,19,18,0,0
蓬莱フェスティボー,MAXIMUM,17,EXCESSIVE COMPLETE,S,9953440,0,4,4,0,0
Lunatic Sprinter,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9865771,0,1,1,0,0
星座が恋した瞬間を。,MAXIMUM,17,PERFECT,S,10000000,0,2,2,0,1
Puberty Dysthymia,MAXIMUM,18,COMPLETE,AAA+,9833864,0,1,1,0,0
風鈴花火,MAXIMUM,16,ULTIMATE CHAIN,S,9996653,0,1,1,1,0
Prey,MAXIMUM,18,EXCESSIVE COMPLETE,S,9957816,0,6,6,0,0
Life is beautiful,MAXIMUM,17,EXCESSIVE COMPLETE,S,9951947,0,3,3,0,0
Rejoin,MAXIMUM,17,EXCESSIVE COMPLETE,S,9938391,0,3,3,0,0
Sleepless days,MAXIMUM,17,PERFECT,S,10000000,0,6,6,0,1
MAXIVCORD,MAXIMUM,17,EXCESSIVE COMPLETE,S,9968017,0,2,2,0,0
Black night,MAXIMUM,18,ULTIMATE CHAIN,S,9986876,0,9,9,2,0
Liévre -blanche-,MAXIMUM,17,EXCESSIVE COMPLETE,S,9984084,0,2,2,0,0
Another Chapter,MAXIMUM,17,PERFECT,S,10000000,0,4,3,0,1
Absolute Domination,EXHAUST,17,ULTIMATE CHAIN,S,9990831,5879,11,10,3,0
Absolute Domination,MAXIMUM,19,EXCESSIVE COMPLETE,AAA+,9858205,7420,27,25,0,0
オニユリ,MAXIMUM,18,EXCESSIVE COMPLETE,S,9929078,0,3,1,0,0
Xronièr,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9746153,0,2,1,0,0
Xronièr,MAXIMUM,20,EXCESSIVE COMPLETE,AAA+,9854559,7873,35,32,0,0
コメット⇒スケイター,MAXIMUM,17,EXCESSIVE COMPLETE,S,9957603,0,9,8,0,0
サイコパスラビット,MAXIMUM,18,PLAYED,S,9911521,0,3,0,0,0
水簾ノ調,MAXIMUM,18,PERFECT,S,10000000,7513,22,21,3,1
スラッシュ//シスターズ,MAXIMUM,18,ULTIMATE CHAIN,S,9996379,7020,12,7,1,0
そして黄金郷へ,MAXIMUM,18,PLAYED,AAA+,9816838,0,1,0,0,0
光射す澪のユズリハ,EXHAUST,16,EXCESSIVE COMPLETE,S,9969733,0,1,1,0,0
光射す澪のユズリハ,MAXIMUM,18,PLAYED,AAA+,9890841,0,2,0,0,0
Failnaught,EXHAUST,17,PLAYED,S,9914903,0,1,0,0,0
Failnaught,MAXIMUM,19,EXCESSIVE COMPLETE,S,9903921,0,6,5,0,0
Fly Like You,EXHAUST,17,EXCESSIVE COMPLETE,S,9960677,0,1,1,0,0
Fly Like You,MAXIMUM,19,EXCESSIVE COMPLETE,S,9923857,0,17,15,0,0
Made In Love,MAXIMUM,17,ULTIMATE CHAIN,S,9991471,6544,17,16,2,0
FREEDOM DiVE,EXHAUST,17,ULTIMATE CHAIN,S,9992753,0,7,7,3,0
FREEDOM DiVE,MAXIMUM,19,EXCESSIVE COMPLETE,S,9973136,9578,26,26,0,0
Dark Matter,MAXIMUM,17,ULTIMATE CHAIN,S,9997154,0,21,21,5,0
ひとりぼっちの魔王,MAXIMUM,16,EXCESSIVE COMPLETE,S,9921875,0,1,1,0,0
ホワイトパレード,MAXIMUM,18,ULTIMATE CHAIN,S,9988201,0,24,24,4,0
Justitia Gladius,MAXIMUM,17,EXCESSIVE COMPLETE,S,9956816,0,2,2,0,0
Victim of Nights,MAXIMUM,18,PERFECT,S,10000000,0,5,5,2,1
少女綺想曲 -G.X.N. Remix-,MAXIMUM,17,ULTIMATE CHAIN,S,9987100,0,3,3,1,0
BLAZING_LAZER,EXHAUST,16,EXCESSIVE COMPLETE,S,9989488,0,3,3,0,0
BLAZING_LAZER,MAXIMUM,18,ULTIMATE CHAIN,S,9993240,6239,38,36,2,0
Melty Sweets,MAXIMUM,17,ULTIMATE CHAIN,S,9992857,0,9,9,2,0
Reb∞t,EXHAUST,16,EXCESSIVE COMPLETE,S,9966058,0,1,1,0,0
Reb∞t,GRAVITY,18,EXCESSIVE COMPLETE,AAA+,9894695,0,2,2,0,0
KIMIDORI Streak!!,MAXIMUM,18,PERFECT,S,10000000,0,8,7,1,1
Gate of Atlantis,EXHAUST,15,COMPLETE,AAA,9794117,0,1,1,0,0
失敗作少女,MAXIMUM,17,PERFECT,S,10000000,0,13,13,4,1
Secret Traveler -MeniRemix-,MAXIMUM,17,EXCESSIVE COMPLETE,S,9962805,0,3,2,0,0
Knights Assault,MAXIMUM,17,ULTIMATE CHAIN,S,9990202,0,1,1,1,0
プレインエイジア(MRM REMIX),MAXIMUM,17,EXCESSIVE COMPLETE,S,9971830,0,6,6,0,0
見世物ライフ,MAXIMUM,17,PERFECT,S,10000000,0,2,2,0,1
MeteorGlow Aftermath,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9845583,0,1,1,0,0
ECHIDNA,MAXIMUM,18,ULTIMATE CHAIN,S,9970318,0,13,13,3,0
Chrono Diver -PENDULUMs-,EXHAUST,17,ULTIMATE CHAIN,S,9997116,0,3,3,2,0
Chrono Diver -PENDULUMs-,MAXIMUM,19,EXCESSIVE COMPLETE,S,9977029,8393,24,21,0,0
Nexta,GRAVITY,18,EXCESSIVE COMPLETE,S,9976724,0,1,1,0,0
ILL-STARRED Diver,MAXIMUM,17,ULTIMATE CHAIN,S,9996817,0,7,7,1,0
煙,MAXIMUM,17,EXCESSIVE COMPLETE,S,9923155,0,2,2,0,0
SUPER BUBBLE JOURNEY,MAXIMUM,17,ULTIMATE CHAIN,S,9981791,0,5,5,1,0
Touch My Body,EXHAUST,15,ULTIMATE CHAIN,S,9990850,0,1,1,1,0
Touch My Body,MAXIMUM,18,EXCESSIVE COMPLETE,S,9982678,0,16,16,0,0
誰が為に兎は舞う＝狂速狂騒曲＝,MAXIMUM,18,ULTIMATE CHAIN,S,9982262,0,6,6,2,0
Blue Stream,MAXIMUM,17,ULTIMATE CHAIN,S,9962658,0,2,2,1,0
片翼のディザイア,MAXIMUM,17,PERFECT,S,10000000,0,6,6,2,1
LastΩmegA,MAXIMUM,18,EXCESSIVE COMPLETE,S,9965650,0,5,5,0,0
Redshift,MAXIMUM,18,ULTIMATE CHAIN,S,9989588,1582,8,7,1,0
アワデコノヨヲ,MAXIMUM,17,EXCESSIVE COMPLETE,S,9988692,0,1,1,0,0
Iridescent Clouds,MAXIMUM,17,EXCESSIVE COMPLETE,S,9943518,0,2,2,0,0
SAtAN,MAXIMUM,18,EXCESSIVE COMPLETE,S,9938362,0,10,9,0,0
Divine's:Bugscript,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9877477,0,4,4,0,0
Dreaming feat. nomico,MAXIMUM,17,PERFECT,S,10000000,0,3,3,0,1
Arcade Prison,MAXIMUM,17,ULTIMATE CHAIN,S,9990215,0,4,4,1,0
Evans,MAXIMUM,18,ULTIMATE CHAIN,S,9977616,5992,7,7,1,0
Oriens,MAXIMUM,17,ULTIMATE CHAIN,S,9976635,0,2,2,1,0
Decoy,EXHAUST,14,PERFECT,S,10000000,0,1,1,0,1
Decoy,MAXIMUM,17,PERFECT,S,10000000,0,10,10,1,2
New Leaf,MAXIMUM,18,EXCESSIVE COMPLETE,S,9969281,0,6,6,0,0
β,MAXIMUM,17,EXCESSIVE COMPLETE,S,9988361,0,5,5,0,0
RHYZING BEAT,MAXIMUM,18,EXCESSIVE COMPLETE,S,9958170,0,9,9,0,0
Re：End of a Dream,EXHAUST,16,EXCESSIVE COMPLETE,S,9950443,0,1,1,0,0
Re：End of a Dream,MAXIMUM,18,ULTIMATE CHAIN,S,9983728,7766,26,26,1,0
業焔繚乱,GRAVITY,18,EXCESSIVE COMPLETE,S,9973455,0,3,3,0,0
Sky High,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9779811,0,1,1,0,0
Phlox,MAXIMUM,17,PERFECT,S,10000000,0,3,3,0,1
BELOBOG,EXHAUST,17,ULTIMATE CHAIN,S,9977362,0,1,1,1,0
BELOBOG,MAXIMUM,19,EXCESSIVE COMPLETE,S,9910324,0,10,10,0,0
蟲の棲む処,EXHAUST,15,EXCESSIVE COMPLETE,S,9987725,0,1,1,0,0
蟲の棲む処,MAXIMUM,17,PERFECT,S,10000000,0,14,14,5,1
Royal Judgement,GRAVITY,17,ULTIMATE CHAIN,S,9994775,6424,22,21,6,0
ロプノールの商隊,MAXIMUM,17,EXCESSIVE COMPLETE,S,9950900,0,1,1,0,0
分けるな危険！モモモモモモーイズム,MAXIMUM,17,ULTIMATE CHAIN,S,9997159,0,3,2,1,0
Awakening,EXHAUST,17,PLAYED,S,9972866,0,1,0,0,0
Awakening,MAXIMUM,19,EXCESSIVE COMPLETE,S,9924340,0,10,8,0,0
Wings of Glory,MAXIMUM,18,EXCESSIVE COMPLETE,S,9956389,0,5,4,0,0
crossing blue,MAXIMUM,18,EXCESSIVE COMPLETE,S,9925000,0,5,4,0,0
Xéroa,EXHAUST,17,ULTIMATE CHAIN,S,9972443,0,2,1,1,0
Xéroa,MAXIMUM,19,COMPLETE,AAA,9730807,0,9,4,0,0
BlueMoon Princess,MAXIMUM,18,EXCESSIVE COMPLETE,S,9980349,0,9,8,0,0
プラネタジャーニー,MAXIMUM,17,PERFECT,S,10000000,0,25,23,3,1
メルヘン風紀委員会,MAXIMUM,17,EXCESSIVE COMPLETE,S,9976887,0,7,6,0,0
Яe's NoVǢ,MAXIMUM,18,ULTIMATE CHAIN,S,9967143,0,10,9,1,0
からくりピエロ,EXHAUST,12,PERFECT,S,10000000,0,1,1,0,1
からくりピエロ,MAXIMUM,16,PERFECT,S,10000000,0,4,4,1,1
GERBERA-For Finalists-,EXHAUST,17,EXCESSIVE COMPLETE,S,9969604,0,1,1,0,0
GERBERA-For Finalists-,MAXIMUM,19,COMPLETE,AAA,9753038,0,2,2,0,0
Libera me,MAXIMUM,17,EXCESSIVE COMPLETE,S,9944831,0,1,1,0,0
ワールズエンド・ダンスホール,EXHAUST,14,PERFECT,S,10000000,0,1,1,0,1
ワールズエンド・ダンスホール,MAXIMUM,18,EXCESSIVE COMPLETE,S,9977249,5599,15,14,0,0
I,EXHAUST,18,EXCESSIVE COMPLETE,S,9963235,0,16,15,0,0
I,MAXIMUM,20,EXCESSIVE COMPLETE,AAA+,9891064,9310,68,57,0,0
A Lasting Promise,EXHAUST,17,ULTIMATE CHAIN,S,9985414,0,4,3,1,0
A Lasting Promise,MAXIMUM,19,EXCESSIVE COMPLETE,AAA+,9838472,6698,12,10,0,0
CUTE-Reflection,MAXIMUM,17,ULTIMATE CHAIN,S,9991735,0,6,5,1,0
Cloud 9,MAXIMUM,18,PLAYED,AAA+,9843826,0,1,0,0,0
Sacrifice and Faith,MAXIMUM,18,EXCESSIVE COMPLETE,S,9962139,0,5,4,0,0
神話に芽吹く,EXHAUST,15,ULTIMATE CHAIN,S,9981738,0,1,1,1,0
神話に芽吹く,MAXIMUM,18,PLAYED,AAA,9789118,0,2,0,0,0
僕らの時間,MAXIMUM,17,ULTIMATE CHAIN,S,9989754,0,6,5,1,0
羅生門,MAXIMUM,17,ULTIMATE CHAIN,S,9986573,0,3,2,1,0
Last Resort,EXHAUST,17,EXCESSIVE COMPLETE,S,9978499,0,6,5,0,0
Last Resort,MAXIMUM,19,EXCESSIVE COMPLETE,AAA+,9882478,0,17,14,0,0
BREAKNECK NY☆N! NY★N!,EXHAUST,15,PERFECT,S,10000000,0,1,1,0,1
BREAKNECK NY☆N! NY★N!,MAXIMUM,17,ULTIMATE CHAIN,S,9997945,6607,32,32,10,0
planetarium,MAXIMUM,17,EXCESSIVE COMPLETE,S,9945145,0,3,3,0,0
Random Box,MAXIMUM,16,EXCESSIVE COMPLETE,S,9949771,0,1,1,0,0
CARNIVOROUS,MAXIMUM,17,ULTIMATE CHAIN,S,9996740,0,2,2,1,0
SPACE VILLAGE,MAXIMUM,17,EXCESSIVE COMPLETE,S,9949937,0,1,1,0,0
それは花火のような恋,MAXIMUM,17,EXCESSIVE COMPLETE,S,9974580,0,8,8,0,0
びいすと！,MAXIMUM,18,PERFECT,S,10000000,5887,30,28,1,1
VOLTEXES IV,MAXIMUM,17,ULTIMATE CHAIN,S,9996431,0,10,9,4,0
Lost wing at.0,MAXIMUM,17,EXCESSIVE COMPLETE,S,9958647,0,3,3,0,0
cobalt,MAXIMUM,17,EXCESSIVE COMPLETE,S,9984529,0,1,1,0,0
НУМЛ,MAXIMUM,18,PLAYED,AAA+,9893985,0,1,0,0,0
極彩天奏,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9883653,0,1,1,0,0
Zelophilia,MAXIMUM,17,EXCESSIVE COMPLETE,S,9906812,0,4,4,0,0
ツキアカリ,MAXIMUM,17,ULTIMATE CHAIN,S,9997149,5567,15,15,7,0
ボーイミーツ・ブルー,MAXIMUM,17,ULTIMATE CHAIN,S,9994791,0,4,4,2,0
ルミナスデイズ,EXHAUST,12,PERFECT,S,10000000,0,1,1,0,1
ルミナスデイズ,MAXIMUM,16,PERFECT,S,10000000,0,5,5,1,1
Lowermost revolt,MAXIMUM,18,EXCESSIVE COMPLETE,S,9960456,0,7,7,0,0
Royal Action,MAXIMUM,17,ULTIMATE CHAIN,S,9996980,0,28,28,4,0
KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Empress Side,EXHAUST,18,EXCESSIVE COMPLETE,S,9910044,0,7,7,0,0
KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Empress Side,MAXIMUM,19,PLAYED,AA+,9513274,0,2,0,0,0
おにいちゃんハイテック,MAXIMUM,17,PERFECT,S,10000000,0,10,9,3,1
Chaotic Romance,MAXIMUM,17,EXCESSIVE COMPLETE,S,9989790,0,2,2,0,0
Khionos TiARA,MAXIMUM,18,EXCESSIVE COMPLETE,S,9904564,0,5,5,0,0
Goddess Bless you,EXHAUST,15,EXCESSIVE COMPLETE,S,9968119,0,1,1,0,0
Goddess Bless you,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9835766,0,1,1,0,0
Xibercannon,MAXIMUM,17,EXCESSIVE COMPLETE,S,9961769,0,2,2,0,0
Destruction & Qreation,MAXIMUM,17,EXCESSIVE COMPLETE,S,9948917,0,1,1,0,0
DropZ-Line-,EXHAUST,16,ULTIMATE CHAIN,S,9996087,0,3,3,1,0
DropZ-Line-,MAXIMUM,18,EXCESSIVE COMPLETE,S,9972010,6328,26,26,0,0
Be a Hero!,MAXIMUM,18,EXCESSIVE COMPLETE,S,9980883,0,5,5,0,0
PIERROT KNIfE,MAXIMUM,17,ULTIMATE CHAIN,S,9997481,0,9,9,4,0
OPEN MY GATE,MAXIMUM,18,EXCESSIVE COMPLETE,S,9910423,0,4,3,0,0
All Clear!!,MAXIMUM,17,EXCESSIVE COMPLETE,S,9959534,0,8,7,0,0
Cy-Bird,MAXIMUM,17,ULTIMATE CHAIN,S,9988801,0,6,5,1,0
#SpeedyCats,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9892944,0,5,4,0,0
TWO-TORIAL,EXHAUST,17,ULTIMATE CHAIN,S,9981458,0,13,13,1,0
TWO-TORIAL,MAXIMUM,19,EXCESSIVE COMPLETE,S,9906478,6769,17,15,0,0
Hug!! Vs. Hug!!,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9892441,0,2,1,0,0
BEAST BASS BOMB,EXHAUST,15,EXCESSIVE COMPLETE,S,9981203,0,3,2,0,0
BEAST BASS BOMB,MAXIMUM,18,EXCESSIVE COMPLETE,S,9927331,0,7,6,0,0
Far Away,MAXIMUM,17,EXCESSIVE COMPLETE,S,9963924,0,5,4,0,0
闇夜に舞うは紅の華,MAXIMUM,17,EXCESSIVE COMPLETE,S,9964838,0,3,2,0,0
GERBERA,MAXIMUM,18,EXCESSIVE COMPLETE,S,9958573,0,23,16,0,0
QUAKE,MAXIMUM,17,PERFECT,S,10000000,0,16,16,5,1
Fairy in Strasbourg,MAXIMUM,16,ULTIMATE CHAIN,S,9989231,0,4,4,2,0
Poppin’Cats!!,MAXIMUM,17,ULTIMATE CHAIN,S,9970622,0,4,4,2,0
怒槌,MAXIMUM,18,EXCESSIVE COMPLETE,S,9985603,9816,24,24,0,0
Scarlet Lance,MAXIMUM,18,EXCESSIVE COMPLETE,S,9960793,0,11,11,0,0
セイクリッド ルイン,MAXIMUM,18,ULTIMATE CHAIN,S,9990043,0,16,16,1,0
炎夏の音,MAXIMUM,17,EXCESSIVE COMPLETE,S,9989733,0,6,6,0,0
テレポーテーションでやってきた彼とのその後の顛末,MAXIMUM,16,ULTIMATE CHAIN,S,9997279,0,1,1,1,0
ペタ靴と憂夜リムーバー,MAXIMUM,17,PERFECT,S,10000000,0,2,2,0,1
キリステゴメン,MAXIMUM,16,ULTIMATE CHAIN,S,9996701,0,4,4,1,0
けもののおうじゃ★めうめう,MAXIMUM,16,PERFECT,S,10000000,0,9,9,1,1
シノビシノノメ,EXHAUST,13,PERFECT,S,10000000,0,1,1,0,1
シノビシノノメ,MAXIMUM,16,PERFECT,S,10000000,0,2,2,0,1
銃弾は解を撃ち抜いて,MAXIMUM,17,ULTIMATE CHAIN,S,9988129,0,3,3,1,0
Drizzly Venom,MAXIMUM,17,ULTIMATE CHAIN,S,9990272,0,2,2,1,0
Ghost Trigger,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9885126,0,1,1,0,0
Sadistic Stabbing,MAXIMUM,17,PERFECT,S,10000000,0,3,3,0,1
Time to Air (jazz it up style),MAXIMUM,16,PLAYED,B,7634367,0,1,0,0,0
チルノのパーフェクトさんすう教室　⑨周年バージョン,MAXIMUM,16,EXCESSIVE COMPLETE,S,9990920,0,2,2,0,0
Doppelganger,MAXIMUM,18,EXCESSIVE COMPLETE,S,9938144,0,15,15,0,0
NEON LOVE♥POTION!!!,MAXIMUM,17,ULTIMATE CHAIN,S,9985986,0,4,4,1,0
444,MAXIMUM,17,PERFECT,S,10000000,0,13,13,3,2
WONDER_WOBBLER,EXHAUST,14,EXCESSIVE COMPLETE,S,9984984,0,2,2,0,0
WONDER_WOBBLER,MAXIMUM,17,PERFECT,S,10000000,0,14,14,2,1
のぼれ八坂坂！,MAXIMUM,18,EXCESSIVE COMPLETE,S,9920498,0,4,4,0,0
Apocrypha,MAXIMUM,17,EXCESSIVE COMPLETE,S,9985666,0,5,5,0,0
Grand-Guignol,MAXIMUM,18,EXCESSIVE COMPLETE,S,9923835,0,3,3,0,0
獅子奮迅,MAXIMUM,17,EXCESSIVE COMPLETE,S,9964850,0,3,3,0,0
Spirit of the Beast,MAXIMUM,18,EXCESSIVE COMPLETE,S,9979046,0,6,6,0,0
Fáfnir,EXHAUST,15,PERFECT,S,10000000,0,2,2,0,1
Fáfnir,MAXIMUM,17,PERFECT,S,10000000,0,8,8,3,1
ULTiMATE INFLATiON,MAXIMUM,18,EXCESSIVE COMPLETE,S,9982857,0,17,16,0,0
神獄烙桜,MAXIMUM,18,PLAYED,AAA+,9845360,0,2,0,0,0
Juggler's Maddness,EXHAUST,16,PLAYED,S,9916825,0,1,0,0,0
Juggler's Maddness,MAXIMUM,18,COMPLETE,AAA+,9897562,0,13,7,0,0
Staring at star,EXHAUST,17,ULTIMATE CHAIN,S,9989954,0,7,7,2,0
Staring at star,MAXIMUM,19,EXCESSIVE COMPLETE,S,9962624,8002,32,28,0,0
セイレーン ～悲壮の竪琴～,EXHAUST,17,EXCESSIVE COMPLETE,S,9954627,0,3,2,0,0
セイレーン ～悲壮の竪琴～,MAXIMUM,19,COMPLETE,AAA,9781092,0,4,3,0,0
Dyscontrolled Galaxy,EXHAUST,17,EXCESSIVE COMPLETE,S,9969427,0,12,11,0,0
Dyscontrolled Galaxy,MAXIMUM,19,EXCESSIVE COMPLETE,AAA+,9824601,0,19,16,0,0
Deadly force,EXHAUST,17,ULTIMATE CHAIN,S,9986893,4672,12,11,5,0
Deadly force,MAXIMUM,19,EXCESSIVE COMPLETE,AAA+,9890326,0,15,13,0,0
FIN4LE ～終止線の彼方へ～,EXHAUST,18,EXCESSIVE COMPLETE,S,9917330,0,4,3,0,0
FIN4LE ～終止線の彼方へ～,MAXIMUM,20,EXCESSIVE COMPLETE,AAA,9798270,7182,56,50,0,0
WHITEOUT,EXHAUST,18,EXCESSIVE COMPLETE,S,9924277,0,5,4,0,0
WHITEOUT,MAXIMUM,20,EXCESSIVE COMPLETE,AAA+,9867743,8953,74,70,0,0
Mirrorwall,MAXIMUM,18,PLAYED,AAA+,9800194,0,2,0,0,0
Altale,MAXIMUM,17,ULTIMATE CHAIN,S,9989966,0,18,18,4,0
PUPA,EXHAUST,16,ULTIMATE CHAIN,S,9994259,0,9,9,5,0
PUPA,MAXIMUM,18,ULTIMATE CHAIN,S,9980752,7496,36,36,1,0
Game Over,EXHAUST,14,PERFECT,S,10000000,0,1,1,0,1
Game Over,MAXIMUM,17,ULTIMATE CHAIN,S,9994404,0,11,11,2,0
rhythmology study,MAXIMUM,17,EXCESSIVE COMPLETE,S,9915202,0,3,3,0,0
